"dates","PT","NL","IT","IE","GR","GB","FR","ES","DE","BE"
2007-06-15,0.523024182784827,0.553798094704714,0.0372787167936156,-0.0807241610242818,-0.774596669241483,-0.0812589992705357,-0.154961464990041,0.103911902792409,0.208212112254812,-0.0388869275093887
2007-06-18,0.535886235303319,0.538709487814488,0.0764142251332952,-0.00540119758709147,-0.774596669241483,-0.112514248102181,-0.143872727288177,0.0440086229423352,0.206567848241948,-0.0509876647837684
2007-06-19,0.532789921925901,0.51005026398958,0.0614228139517963,-0.00540119758709147,-0.790569415042095,-0.108985359482711,-0.159097755540214,0.0440086229423352,0.214983901802018,-0.0275154297611082
2007-06-20,0.54584260355702,0.500925243262331,0.0159647222968001,0.0164026120704598,-0.790569415042095,-0.0985024197957807,-0.154741770100325,0.061538610164677,0.234856163029637,0.0164313336742932
2007-06-21,0.533435599203161,0.496798130068595,0.0864903265504806,0.0913315393539779,-0.790569415042095,-0.121674381702432,-0.156202102608365,0.0414851692159851,0.227261098746279,0.00823391263691227
2007-06-22,0.512313961221895,0.469892490906267,0.0542711093671279,0.0913137056626253,-0.816496580927726,-0.132532944014655,-0.130041162048116,0.0414851692159851,0.22938163347546,-0.0468878962960183
2007-06-25,0.488615162507934,0.477407918721129,0.0366003464860863,0.142906463467229,-0.816496580927726,-0.11635851419333,-0.11766142409134,-0.00939320649858706,0.206664095700108,-0.0201058385675599
2007-06-26,0.473130377608672,0.476976968761846,-0.0344751893630053,0.148171524100816,-0.816496580927726,-0.193200170716487,-0.296258604871406,-0.00939320649858706,0.0913291873061672,-0.0157577775898581
2007-06-27,0.440753802599421,0.469994583061154,-0.0712499023959493,0.233967636383881,-0.816496580927726,-0.220923568582787,-0.291931977577034,-0.00939320649858706,0.0550251527574309,-0.029136962007085
2007-06-28,0.409248815346559,0.487987782541637,-0.081678497309969,0.27501808666438,-0.816496580927726,-0.163571764537625,-0.245129404525802,-0.00939320649858706,0.0653285374996713,-0.00707941039240764
2007-06-29,0.441389039676168,0.464201509765208,-0.0425698340253494,0.336610771577902,-0.87287156094397,-0.151011817488589,-0.237180039154993,-0.00939320649858706,0.0341515076912713,0.0280910683939428
2007-07-02,0.427961519705186,0.43472461047082,-0.0241773888356312,0.354008963773033,-0.87287156094397,-0.115855082233524,-0.208278648383688,-0.0287218797867653,0.119571731636121,0.0567574136218571
2007-07-03,0.400485591329014,0.429034863681078,-0.0177193995536644,0.362420771289464,-0.87287156094397,-0.113215017773421,-0.221670183823714,-0.0382411442692994,0.145894105666811,0.0858074674224399
2007-07-04,0.37923933909565,0.348588424783656,-0.00429772075639924,0.369449479841621,-1,-0.176897726863479,-0.25169314930526,-0.0229838274207053,0.198972523827687,0.0827434859366121
2007-07-05,0.388359862967669,0.313367703527403,-0.0370609864023129,0.434114735728756,-1,-0.182226865016124,-0.235673749316432,-0.048085656888266,0.182048387494382,0.125645221886264
2007-07-06,0.399972472826765,0.254660038290007,0.106772469824227,0.510418465265154,-1,-0.22433861346946,-0.246775169279597,-0.0778404597806676,0.179190600227504,0.122914273037148
2007-07-09,0.387067070134004,0.199846600107221,0.0911318627701595,0.521231626458111,-1,-0.265169010389743,-0.245785125271221,-0.0615136151061194,0.219592362806308,0.13339966115675
2007-07-10,0.350002275838725,0.16522578945429,0.235810690176403,0.526997646598272,-1,-0.274920782653674,-0.232810501985486,-0.0625611247089855,0.211991341170477,0.143483599744575
2007-07-11,0.366467506412043,0.177868704033024,0.181422427599043,0.526997646598272,-4.96506830649455e-17,-0.261866975063487,-0.240692965923974,-0.0625611247089855,0.235653261561417,0.0837637841407512
2007-07-12,0.422183574337701,0.16983438156786,0.148519686980969,0.542608680607374,0.125,-0.324025424326928,-0.231888530164051,-0.0110658473718204,0.25309179948711,0.0842604923560841
2007-07-13,0.414373472389665,0.166487044618165,0.122452184190348,0.560707273391868,0.110431526074847,-0.30095098611634,-0.233000799522088,-0.0110658473718204,0.268917957025206,0.0311832664349583
2007-07-16,0.441653224727344,0.166487044618165,0.0642997920203068,0.537225669718953,0.110431526074847,-0.281355017935811,-0.120268914813597,0.0347464079655104,0.274083004791958,0.0110826677527046
2007-07-17,0.369363144380351,0.160737505991193,0.104072211029775,0.537225669718953,-0.0400320384512719,-0.277009608864887,-0.121673616349556,-0.332760890298278,0.294092242864468,0.0265971729771438
2007-07-18,0.354239689340335,0.20860946553398,0.146359570710077,0.545602113667104,-0.0400320384512719,-0.26076524405616,-0.103118974918435,-0.327361427357821,0.311438058078074,0.0631814586822238
2007-07-19,0.344354265955518,0.231952016041259,0.12772141939961,0.543197359746968,0,-0.257571566740071,-0.0886697714882659,-0.264761356928598,0.288954193370839,0.0671009569298044
2007-07-20,0.32953889009364,0.0986844860954783,0.126924633617528,0.524843259102622,-0.163188341442055,-0.276268261173926,-0.110668526501465,-0.264761356928598,0.277360827224555,0.0699718477536208
2007-07-23,0.35097472400629,0.086339869500902,0.0452687458065042,0.400318479042723,-0.120096115353815,-0.247646819400428,-0.10796589934264,-0.353689871351337,0.269032290131159,0.132276679031748
2007-07-24,0.353594073612999,0.108859168696942,-0.0205488263767245,0.453751695366247,-0.120096115353815,-0.218580942415385,-0.106972902426018,-0.335410196624968,0.285081458505975,0.158066950564846
2007-07-25,0.195949531706732,0.131132751176713,-0.00312177588846811,0.379132685850873,-0.272727272727273,-0.037745052226602,-0.145026704627212,-0.309344112444873,0.427349420943514,0.171138609676048
